epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2143,2.013,6.90659,1.06461,0.01389,0.044,0.01402,0.0095,1.75597,5.8634,0.91715,5.53557e-05,5.53557e-05,5.53557e-05
2,33.7295,1.73608,5.49791,0.93297,0.63663,0.04853,0.03523,0.02329,1.65896,4.91007,0.89625,8.90399e-05,8.90399e-05,8.90399e-05
3,48.8662,1.75423,4.97357,0.9075,0.53085,0.06556,0.04229,0.02817,1.61563,4.42655,0.89315,0.00010068,0.00010068,0.00010068
4,64.0645,1.70991,4.42199,0.91761,0.50779,0.07289,0.0639,0.04519,1.58577,4.16483,0.88623,6.7802e-05,6.7802e-05,6.7802e-05
5,79.1959,1.70074,4.49673,0.90203,0.54463,0.08407,0.06843,0.04766,1.55797,4.00768,0.88402,3.4736e-05,3.4736e-05,3.4736e-05
1,19.7319,2.013,6.90659,1.06461,0.01389,0.044,0.01402,0.0095,1.75597,5.8634,0.91715,5.53557e-05,5.53557e-05,5.53557e-05
2,35.4379,1.73608,5.49791,0.93297,0.63663,0.04853,0.03523,0.02329,1.65896,4.91007,0.89625,8.90399e-05,8.90399e-05,8.90399e-05
3,51.3091,1.75423,4.97357,0.9075,0.53085,0.06556,0.04229,0.02817,1.61563,4.42655,0.89315,0.00010068,0.00010068,0.00010068
4,67.1269,1.70991,4.42199,0.91761,0.50779,0.07289,0.0639,0.04519,1.58577,4.16483,0.88623,6.7802e-05,6.7802e-05,6.7802e-05
5,84.0591,1.70074,4.49673,0.90203,0.54463,0.08407,0.06843,0.04766,1.55797,4.00768,0.88402,3.4736e-05,3.4736e-05,3.4736e-05
1,27.1689,2.013,6.90659,1.06461,0.01389,0.044,0.01402,0.0095,1.75597,5.8634,0.91715,5.53557e-05,5.53557e-05,5.53557e-05
2,42.7567,1.73608,5.49791,0.93297,0.63663,0.04853,0.03523,0.02329,1.65896,4.91007,0.89625,8.90399e-05,8.90399e-05,8.90399e-05
3,58.3103,1.75423,4.97357,0.9075,0.53085,0.06556,0.04229,0.02817,1.61563,4.42655,0.89315,0.00010068,0.00010068,0.00010068
4,73.7334,1.70991,4.42199,0.91761,0.50779,0.07289,0.0639,0.04519,1.58577,4.16483,0.88623,6.7802e-05,6.7802e-05,6.7802e-05
