epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0549,1.79976,8.86475,0.47185,0,0,0,0,3.49638,8.61947,1.05875,0,0,0
2,15.4923,4.05723,11.1792,1.08156,0,0,0,0,3.46879,8.58451,1.05193,1.50467e-06,1.50467e-06,1.50467e-06
3,15.9165,1.48353,8.25814,0.41596,0,0,0,0,3.458,8.59468,1.05103,2.67868e-06,2.67868e-06,2.67868e-06
4,16.3163,1.05719,7.68305,0.29678,0,0,0,0,3.43946,8.58934,1.048,3.52203e-06,3.52203e-06,3.52203e-06
5,16.7424,0.95151,7.5518,0.25805,0,0,0,0,3.42805,8.57323,1.04533,4.03472e-06,4.03472e-06,4.03472e-06
6,17.1967,0.858,11.5364,0.78592,0,0,0,0,3.41626,8.52367,1.03977,4.21675e-06,4.21675e-06,4.21675e-06
7,17.6058,3.09016,11.2918,1.01034,0,0,0,0,3.39051,8.47706,1.03241,4.06812e-06,4.06812e-06,4.06812e-06
8,18.1361,2.14351,9.67554,0.66531,0,0,0,0,3.38468,8.42387,1.02788,3.58883e-06,3.58883e-06,3.58883e-06
9,18.7823,2.9247,10.6299,0.84821,0,0,0,0,3.36403,8.29894,1.01883,2.77888e-06,2.77888e-06,2.77888e-06
10,19.3336,3.25115,10.3346,0.83264,0,0,0,0,3.36234,8.26592,1.0172,1.63827e-06,1.63827e-06,1.63827e-06
